Personnel ID,First Name,Last Name,Gender Description,Age,Duty Description,Duty Location,"Employee Status 
(1-4)",Pay Grade,Start Date
HI769107,Jennifer,Williams, Female,18,CNC Machinist , Wet Docks,2,28,9/23/2024
HI315340,David,Johnson, Male,50,CNC Machinist , Testing Facilities,1,25,9/23/2024
HI903826,Jennifer,Davis, Female,53,CNC Machinist , Slipways,1,18,9/23/2024
HI272637,Richard,Garcia, Male,59,CNC Machinist , Storage Areas,3,18,9/23/2024
HI158278,John,Martinez, Male,44,CNC Machinist , Wet Docks,1,28,9/16/2024
HI123871,Elizabeth,Davis, Unknown,49,CNC Machinist , Fabrication Shops,1,22,9/16/2024
HI212396,Robert,Johnson, Male,64,CNC Machinist , Fabrication Shops,4,22,9/16/2024
HI715785,Patricia,Rodriguez, Unknown,48,CNC Machinist , Fabrication Shops,1,28,9/9/2024
HI567788,Patricia,Martinez, Female,57,CNC Machinist , Testing Facilities,4,25,9/9/2024
HI203074,Susan,Jones, Female,41,CNC Machinist , Cranes and Heavy Lifting Equipment,2,25,9/9/2024
HI029909,Jennifer,Davis, Female,37,CNC Machinist , Storage Areas,3,22,9/2/2024
HI435649,Mary,Miller, Unknown,35,CNC Machinist , Storage Areas,4,25,8/26/2024
HI646188,David,Brown, Unknown,24,CNC Machinist , Wet Docks,4,22,8/19/2024
HI756149,Patricia,Martinez, Female,32,CNC Machinist , Slipways,3,25,8/5/2024
HI382531,Elizabeth,Jones, Female,38,CNC Machinist , Wet Docks,3,28,7/29/2024
HI840520,Patricia,Martinez, Female,54,CNC Machinist , Fabrication Shops,4,22,7/29/2024
HI671471,Thomas,Smith, Unknown,50,CNC Machinist , Fabrication Shops,3,18,7/15/2024
HI855432,David,Martinez, Male,65,CNC Machinist , Paint Shops,2,28,7/15/2024
HI270680,Patricia,Davis, Unknown,26,CNC Machinist , Administrative Offices,3,22,7/15/2024
HI022483,Michael,Davis, Male,46,CNC Machinist , Wet Docks,1,28,7/8/2024
HI754150,James,Davis, Male,18,CNC Machinist , Cranes and Heavy Lifting Equipment,3,18,7/1/2024
HI426429,Linda,Smith, Female,46,CNC Machinist , Dry Docks,3,25,7/1/2024
HI192497,David,Brown, Male,37,CNC Machinist , Cranes and Heavy Lifting Equipment,1,22,7/1/2024
HI779173,Karen,Jones, Female,56,CNC Machinist , Paint Shops,4,25,7/1/2024
HI882871,Joseph,Brown, Unknown,47,CNC Machinist , Dry Docks,1,25,7/1/2024
HI235120,Linda,Smith, Female,40,CNC Machinist , Testing Facilities,3,28,6/24/2024
HI133377,Richard,Martinez, Male,28,CNC Machinist , Testing Facilities,1,22,6/10/2024
HI600431,Patricia,Smith, Female,52,CNC Machinist , Slipways,2,25,6/10/2024
HI839470,Mary,Davis, Female,30,CNC Machinist , Outfitting Docks,2,22,6/3/2024
HI291868,Barbara,Miller, Female,63,CNC Machinist , Paint Shops,4,18,6/3/2024
HI576348,Richard,Martinez, Male,43,CNC Machinist , Testing Facilities,2,25,6/3/2024
HI027109,Thomas,Brown, Male,22,CNC Machinist , Cranes and Heavy Lifting Equipment,2,25,6/3/2024
HI537978,Elizabeth,Jones, Female,32,CNC Machinist , Slipways,4,18,6/3/2024
HI522796,Thomas,Johnson, Male,34,CNC Machinist , Fabrication Shops,1,18,5/27/2024
HI501025,Sarah,Smith, Female,44,CNC Machinist , Administrative Offices,3,28,5/20/2024
HI524557,William,Smith, Unknown,48,CNC Machinist , Wet Docks,4,18,5/20/2024
HI177231,Linda,Rodriguez, Female,46,CNC Machinist , Slipways,2,22,5/20/2024
HI312853,Mary,Martinez, Female,27,CNC Machinist , Wet Docks,2,22,5/13/2024
HI317649,Patricia,Johnson, Female,62,CNC Machinist , Wet Docks,2,25,5/13/2024
HI881647,Jessica,Jones, Female,26,CNC Machinist , Slipways,4,28,5/13/2024
HI304800,Karen,Jones, Female,61,CNC Machinist , Testing Facilities,4,18,5/6/2024
HI319864,Joseph,Rodriguez, Male,22,CNC Machinist , Administrative Offices,1,18,5/6/2024
HI577338,Patricia,Williams, Female,57,CNC Machinist , Testing Facilities,2,18,4/29/2024
HI779996,Robert,Williams, Male,21,CNC Machinist , Storage Areas,3,18,4/29/2024
HI917332,Karen,Rodriguez, Female,58,CNC Machinist , Testing Facilities,4,28,4/29/2024
HI470700,Elizabeth,Rodriguez, Female,64,CNC Machinist , Dry Docks,1,18,4/22/2024
HI131437,Mary,Johnson, Female,46,CNC Machinist , Administrative Offices,2,25,4/15/2024
HI190897,James,Miller, Male,57,CNC Machinist , Wet Docks,2,18,4/15/2024
HI642820,David,Miller, Unknown,37,CNC Machinist , Paint Shops,1,18,4/15/2024
HI536815,James,Johnson, Male,35,CNC Machinist , Dry Docks,1,28,4/15/2024
HI233924,Linda,Smith, Female,57,CNC Machinist , Administrative Offices,2,25,4/15/2024
HI412869,Sarah,Martinez, Female,58,CNC Machinist , Paint Shops,1,25,4/8/2024
HI879144,Robert,Rodriguez, Male,39,CNC Machinist , Paint Shops,4,22,4/8/2024
HI703360,Robert,Davis, Male,22,CNC Machinist , Slipways,4,18,4/1/2024
HI460169,Richard,Martinez, Male,51,CNC Machinist , Dry Docks,2,28,4/1/2024
HI088233,John,Martinez, Male,60,CNC Machinist , Paint Shops,1,22,3/25/2024
HI788309,Jennifer,Brown, Female,21,CNC Machinist , Fabrication Shops,2,18,3/25/2024
HI146865,Charles,Davis, Male,25,CNC Machinist , Outfitting Docks,1,18,3/18/2024
HI708816,Charles,Johnson, Male,62,CNC Machinist , Paint Shops,1,25,3/18/2024
HI044989,Susan,Smith, Female,45,CNC Machinist , Outfitting Docks,3,18,3/18/2024
HI161428,Thomas,Garcia, Male,23,CNC Machinist , Slipways,2,22,3/11/2024
HI996839,Karen,Miller, Female,59,CNC Machinist , Testing Facilities,2,22,3/11/2024
HI908791,William,Rodriguez, Male,33,CNC Machinist , Outfitting Docks,4,28,3/11/2024
HI568299,Elizabeth,Jones, Female,56,CNC Machinist , Administrative Offices,2,25,3/4/2024
HI017593,Elizabeth,Smith, Female,26,CNC Machinist , Outfitting Docks,4,25,2/26/2024
HI260286,Charles,Davis, Male,65,CNC Machinist , Administrative Offices,2,18,2/26/2024
HI497686,Jessica,Brown, Female,43,CNC Machinist , Paint Shops,3,22,2/26/2024
HI104533,Barbara,Martinez, Unknown,50,CNC Machinist , Administrative Offices,2,18,2/19/2024
HI000185,Charles,Davis, Male,35,CNC Machinist , Cranes and Heavy Lifting Equipment,3,18,2/19/2024
HI844284,Mary,Williams, Female,39,CNC Machinist , Paint Shops,3,28,2/12/2024
HI398057,John,Miller, Male,59,CNC Machinist , Dry Docks,1,22,2/12/2024
HI383533,Charles,Smith, Male,61,CNC Machinist , Testing Facilities,2,18,2/5/2024
HI194741,David,Davis, Male,61,CNC Machinist , Slipways,2,22,2/5/2024
HI286198,William,Miller, Unknown,18,CNC Machinist , Outfitting Docks,4,25,1/29/2024
HI605523,William,Johnson, Male,18,CNC Machinist , Storage Areas,1,22,1/29/2024
HI889626,William,Garcia, Male,26,CNC Machinist , Dry Docks,3,18,1/29/2024
HI872923,Elizabeth,Brown, Female,21,CNC Machinist , Outfitting Docks,4,22,1/22/2024
HI431003,Patricia,Smith, Female,42,CNC Machinist , Paint Shops,4,25,1/15/2024
HI458287,Thomas,Miller, Male,52,CNC Machinist , Slipways,1,25,1/8/2024
HI164295,Joseph,Brown, Male,51,CNC Machinist , Administrative Offices,2,28,1/8/2024
HI424413,John,Rodriguez, Male,53,CNC Machinist , Wet Docks,3,22,1/1/2024
HI120613,Richard,Smith, Male,48,CNC Machinist , Paint Shops,4,22,12/25/2023
HI537287,Robert,Rodriguez, Male,39,CNC Machinist , Storage Areas,3,25,12/25/2023
HI891305,Elizabeth,Williams, Female,32,CNC Machinist , Wet Docks,2,25,12/25/2023
HI640765,Susan,Jones, Female,19,CNC Machinist , Administrative Offices,3,22,12/18/2023
HI646906,Thomas,Martinez, Male,62,CNC Machinist , Paint Shops,1,22,12/18/2023
HI111675,William,Brown, Male,59,CNC Machinist , Cranes and Heavy Lifting Equipment,1,18,12/18/2023
HI636592,James,Miller, Male,29,CNC Machinist , Testing Facilities,3,28,12/11/2023
HI265654,Robert,Martinez, Male,34,CNC Machinist , Storage Areas,3,18,12/11/2023
HI028883,Elizabeth,Brown, Female,61,CNC Machinist , Fabrication Shops,3,28,12/4/2023
HI306874,Elizabeth,Brown, Female,55,CNC Machinist , Wet Docks,2,18,11/27/2023
HI197781,Elizabeth,Brown, Female,36,CNC Machinist , Cranes and Heavy Lifting Equipment,4,25,11/27/2023
HI876422,David,Davis, Male,47,CNC Machinist , Outfitting Docks,2,28,11/20/2023
HI388736,Charles,Rodriguez, Male,45,CNC Machinist , Testing Facilities,2,22,11/20/2023
HI832373,Thomas,Miller, Male,41,CNC Machinist , Fabrication Shops,2,25,11/13/2023
HI464521,David,Jones, Male,23,CNC Machinist , Storage Areas,1,25,11/13/2023
HI230334,Susan,Miller, Female,20,CNC Machinist , Cranes and Heavy Lifting Equipment,2,18,11/13/2023
HI432763,Charles,Jones, Male,60,CNC Machinist , Storage Areas,1,28,11/13/2023
HI828716,James,Garcia, Male,64,CNC Machinist , Fabrication Shops,2,25,11/6/2023
HI225180,Karen,Rodriguez, Female,42,CNC Machinist , Testing Facilities,2,25,11/6/2023
HI136637,Robert,Davis, Unknown,44,CNC Machinist , Paint Shops,2,28,11/6/2023
HI652631,Elizabeth,Martinez, Female,24,CNC Machinist , Outfitting Docks,4,25,10/30/2023
HI169124,Robert,Miller, Male,60,CNC Machinist , Cranes and Heavy Lifting Equipment,4,28,10/30/2023
HI622833,Robert,Jones, Male,51,CNC Machinist , Storage Areas,2,18,10/23/2023
HI945314,Elizabeth,Davis, Female,63,CNC Machinist , Administrative Offices,2,25,10/16/2023
HI434503,Thomas,Williams, Male,56,CNC Machinist , Cranes and Heavy Lifting Equipment,3,28,10/16/2023
HI003012,Jennifer,Jones, Female,51,CNC Machinist , Slipways,1,22,10/9/2023
HI704670,David,Miller, Male,55,CNC Machinist , Wet Docks,3,18,10/9/2023
HI839284,James,Williams, Male,18,CNC Machinist , Dry Docks,1,18,10/9/2023
HI063761,Charles,Jones, Male,26,CNC Machinist , Cranes and Heavy Lifting Equipment,4,22,10/2/2023
HI804212,John,Jones, Male,40,CNC Machinist , Wet Docks,1,22,10/2/2023
HI701736,William,Rodriguez, Male,57,CNC Machinist , Administrative Offices,2,22,9/25/2023
HI442967,Richard,Garcia, Male,65,CNC Machinist , Outfitting Docks,2,22,9/25/2023
HI732829,Mary,Williams, Female,26,CNC Machinist , Slipways,4,28,9/25/2023
HI001896,Jennifer,Davis, Female,36,CNC Machinist , Slipways,3,28,9/18/2023
HI063498,James,Rodriguez, Male,45,CNC Machinist , Testing Facilities,2,22,9/11/2023
HI793541,Robert,Johnson, Male,35,CNC Machinist , Slipways,1,28,9/11/2023
HI220484,William,Johnson, Male,48,CNC Machinist , Wet Docks,3,18,9/4/2023
HI955467,Richard,Jones, Male,47,CNC Machinist , Cranes and Heavy Lifting Equipment,4,18,8/28/2023
HI219810,Linda,Garcia, Female,41,CNC Machinist , Storage Areas,2,28,8/28/2023
HI857530,Joseph,Davis, Male,61,CNC Machinist , Administrative Offices,1,18,8/21/2023
HI125328,Richard,Smith, Male,35,CNC Machinist , Testing Facilities,3,25,8/21/2023
HI804612,David,Williams, Male,19,CNC Machinist , Cranes and Heavy Lifting Equipment,3,28,8/7/2023
HI706875,Karen,Garcia, Female,26,CNC Machinist , Administrative Offices,3,28,7/31/2023
HI374867,Thomas,Brown, Male,35,CNC Machinist , Dry Docks,4,22,7/24/2023
HI248757,Patricia,Williams, Female,64,CNC Machinist , Dry Docks,3,28,7/24/2023
HI322284,Jessica,Davis, Female,44,CNC Machinist , Testing Facilities,3,25,7/17/2023
HI521122,Jennifer,Martinez, Female,34,CNC Machinist , Slipways,2,28,7/17/2023
HI448379,Elizabeth,Miller, Unknown,55,CNC Machinist , Fabrication Shops,3,22,7/10/2023
HI604609,Thomas,Johnson, Male,38,CNC Machinist , Slipways,2,28,7/10/2023
HI141764,Joseph,Williams, Male,61,CNC Machinist , Administrative Offices,3,22,7/10/2023
HI109397,Michael,Davis, Male,34,CNC Machinist , Dry Docks,2,25,7/3/2023
HI615991,Jennifer,Rodriguez, Female,61,CNC Machinist , Cranes and Heavy Lifting Equipment,2,25,6/26/2023
HI171175,Karen,Jones, Female,25,CNC Machinist , Administrative Offices,2,28,6/19/2023
HI063505,Robert,Johnson, Male,25,CNC Machinist , Cranes and Heavy Lifting Equipment,2,25,6/19/2023
HI219241,James,Smith, Male,54,CNC Machinist , Storage Areas,2,25,6/12/2023
HI097715,John,Williams, Male,51,CNC Machinist , Dry Docks,2,25,6/12/2023
HI262940,James,Johnson, Male,45,CNC Machinist , Cranes and Heavy Lifting Equipment,3,28,6/12/2023
HI880989,Thomas,Smith, Male,64,CNC Machinist , Fabrication Shops,4,25,6/12/2023
HI171639,Sarah,Rodriguez, Female,21,CNC Machinist , Storage Areas,2,25,6/12/2023
HI019976,James,Smith, Male,48,CNC Machinist , Cranes and Heavy Lifting Equipment,4,28,6/5/2023
HI713191,Elizabeth,Garcia, Female,18,CNC Machinist , Paint Shops,2,28,5/29/2023
HI786404,Linda,Williams, Unknown,30,CNC Machinist , Wet Docks,4,25,5/29/2023
HI720981,Charles,Miller, Male,31,CNC Machinist , Testing Facilities,1,28,5/29/2023
HI376963,David,Davis, Male,63,CNC Machinist , Testing Facilities,1,25,5/29/2023
HI065549,Charles,Smith, Male,21,CNC Machinist , Storage Areas,4,25,5/22/2023
HI236320,John,Davis, Male,54,CNC Machinist , Outfitting Docks,2,25,5/22/2023
HI744196,Charles,Rodriguez, Male,32,CNC Machinist , Fabrication Shops,4,28,5/15/2023
HI944579,Susan,Jones, Female,38,CNC Machinist , Outfitting Docks,2,28,5/15/2023
HI656300,Thomas,Johnson, Male,43,CNC Machinist , Testing Facilities,1,22,5/15/2023
HI472405,William,Martinez, Male,25,CNC Machinist , Dry Docks,4,25,5/1/2023
HI022125,James,Garcia, Male,20,CNC Machinist , Fabrication Shops,4,18,5/1/2023
HI817101,Mary,Williams, Unknown,60,CNC Machinist , Cranes and Heavy Lifting Equipment,2,22,5/1/2023
HI848144,Linda,Martinez, Female,21,CNC Machinist , Slipways,2,28,5/1/2023
HI105443,Joseph,Smith, Unknown,61,CNC Machinist , Outfitting Docks,1,18,4/24/2023
HI701433,Mary,Johnson, Female,20,CNC Machinist , Wet Docks,3,25,4/24/2023
HI826411,John,Smith, Male,60,CNC Machinist , Dry Docks,1,18,4/17/2023
HI767727,Joseph,Brown, Male,54,CNC Machinist , Outfitting Docks,4,22,4/17/2023
HI248515,James,Rodriguez, Male,61,CNC Machinist , Dry Docks,3,22,4/10/2023
HI543705,Charles,Smith, Male,56,CNC Machinist , Storage Areas,4,28,4/10/2023
HI635671,Thomas,Miller, Male,42,CNC Machinist , Fabrication Shops,4,28,4/10/2023
HI157144,Linda,Miller, Female,58,CNC Machinist , Wet Docks,2,25,4/3/2023
HI948847,Patricia,Garcia, Female,51,CNC Machinist , Testing Facilities,2,22,3/20/2023
HI492854,Susan,Garcia, Female,36,CNC Machinist , Testing Facilities,3,25,3/20/2023
HI454019,John,Brown, Unknown,27,CNC Machinist , Paint Shops,3,18,3/20/2023
HI926597,Thomas,Martinez, Male,25,CNC Machinist , Outfitting Docks,3,28,3/13/2023
HI524164,John,Brown, Male,52,CNC Machinist , Paint Shops,3,18,3/13/2023
HI390728,Joseph,Smith, Male,57,CNC Machinist , Administrative Offices,2,28,3/6/2023
HI529465,William,Williams, Male,45,CNC Machinist , Testing Facilities,1,18,3/6/2023
HI396686,Sarah,Garcia, Female,22,CNC Machinist , Slipways,2,28,3/6/2023
HI582819,Thomas,Davis, Male,22,CNC Machinist , Wet Docks,3,25,2/27/2023
HI909502,Thomas,Williams, Unknown,33,CNC Machinist , Administrative Offices,3,28,2/27/2023
HI316492,Richard,Williams, Unknown,18,CNC Machinist , Dry Docks,4,28,2/27/2023
HI795743,James,Martinez, Male,65,CNC Machinist , Outfitting Docks,3,28,2/20/2023
HI215196,William,Smith, Male,46,CNC Machinist , Outfitting Docks,3,18,2/20/2023
HI302953,Robert,Rodriguez, Male,45,CNC Machinist , Testing Facilities,4,18,2/20/2023
HI834663,Linda,Brown, Female,39,CNC Machinist , Outfitting Docks,1,25,2/20/2023
HI602922,Barbara,Davis, Female,23,CNC Machinist , Administrative Offices,4,25,2/6/2023
HI969055,John,Garcia, Male,43,CNC Machinist , Cranes and Heavy Lifting Equipment,3,22,2/6/2023
HI349384,Joseph,Davis, Male,61,CNC Machinist , Dry Docks,1,28,2/6/2023
HI674221,Jessica,Davis, Female,44,CNC Machinist , Fabrication Shops,3,18,2/6/2023
HI182654,Thomas,Martinez, Unknown,47,CNC Machinist , Paint Shops,3,18,1/30/2023
HI639551,John,Brown, Male,49,CNC Machinist , Administrative Offices,4,25,1/30/2023
HI570826,Thomas,Martinez, Male,41,CNC Machinist , Paint Shops,4,28,1/23/2023
HI046286,William,Brown, Male,26,CNC Machinist , Outfitting Docks,3,18,1/23/2023
HI990504,Sarah,Williams, Female,32,CNC Machinist , Slipways,1,25,1/16/2023
HI277362,Karen,Martinez, Female,51,CNC Machinist , Testing Facilities,3,22,1/16/2023
HI130999,Barbara,Williams, Female,52,CNC Machinist , Storage Areas,1,28,1/16/2023
HI720998,Richard,Brown, Male,49,CNC Machinist , Cranes and Heavy Lifting Equipment,4,28,1/16/2023
HI025567,John,Rodriguez, Male,40,CNC Machinist , Fabrication Shops,3,18,1/16/2023
HI316948,Patricia,Jones, Female,24,CNC Machinist , Dry Docks,2,25,1/16/2023
HI657265,Linda,Jones, Female,23,CNC Machinist , Wet Docks,4,22,1/9/2023
HI710514,David,Jones, Male,35,CNC Machinist , Wet Docks,2,28,1/2/2023
HI545280,Linda,Miller, Female,42,CNC Machinist , Slipways,1,25,1/2/2023
HI773122,Robert,Smith, Male,49,CNC Machinist , Paint Shops,1,22,1/2/2023
HI516980,David,Rodriguez, Male,32,CNC Machinist , Testing Facilities,1,28,12/26/2022
HI817130,Charles,Brown, Male,56,CNC Machinist , Cranes and Heavy Lifting Equipment,2,18,12/26/2022
HI153795,Robert,Brown, Male,47,CNC Machinist , Administrative Offices,1,28,12/26/2022
HI679258,Michael,Rodriguez, Male,41,CNC Machinist , Outfitting Docks,4,22,12/19/2022
HI528635,Elizabeth,Davis, Female,32,CNC Machinist , Slipways,3,22,12/12/2022
HI144314,David,Garcia, Male,61,CNC Machinist , Outfitting Docks,3,22,12/5/2022
HI575939,Sarah,Rodriguez, Female,48,CNC Machinist , Testing Facilities,4,25,11/28/2022
HI009204,Charles,Brown, Male,21,CNC Machinist , Paint Shops,4,28,11/21/2022
HI544553,William,Miller, Male,23,CNC Machinist , Storage Areas,2,28,11/21/2022
HI175903,Mary,Johnson, Female,50,CNC Machinist , Testing Facilities,2,28,11/14/2022
HI301539,Karen,Smith, Female,39,CNC Machinist , Paint Shops,3,25,11/7/2022
HI147210,Mary,Johnson, Female,43,CNC Machinist , Cranes and Heavy Lifting Equipment,3,22,11/7/2022
HI410425,Barbara,Martinez, Female,38,CNC Machinist , Dry Docks,4,25,10/31/2022
HI714253,Elizabeth,Rodriguez, Female,45,CNC Machinist , Slipways,4,28,10/31/2022
HI783126,Karen,Smith, Unknown,26,CNC Machinist , Outfitting Docks,2,28,10/31/2022
HI012977,James,Garcia, Male,19,CNC Machinist , Testing Facilities,1,28,10/31/2022
HI422291,Thomas,Williams, Male,20,CNC Machinist , Dry Docks,1,18,10/24/2022
HI061434,Patricia,Martinez, Female,19,CNC Machinist , Wet Docks,1,18,10/24/2022
HI887791,William,Brown, Male,25,CNC Machinist , Cranes and Heavy Lifting Equipment,4,25,10/24/2022
HI952979,Sarah,Williams, Female,36,CNC Machinist , Administrative Offices,2,25,10/24/2022
HI923887,Charles,Jones, Male,59,CNC Machinist , Paint Shops,2,22,10/17/2022
HI091050,John,Davis, Male,39,CNC Machinist , Testing Facilities,3,25,10/17/2022
HI031414,Richard,Williams, Male,33,CNC Machinist , Testing Facilities,1,22,10/17/2022
HI320251,Jessica,Williams, Unknown,44,CNC Machinist , Slipways,2,18,10/17/2022
HI449111,Charles,Martinez, Male,23,CNC Machinist , Testing Facilities,1,22,10/10/2022
HI403617,Susan,Miller, Unknown,34,CNC Machinist , Storage Areas,1,22,10/10/2022
HI820204,Sarah,Davis, Female,61,CNC Machinist , Cranes and Heavy Lifting Equipment,3,25,10/10/2022
HI155016,Michael,Davis, Male,24,CNC Machinist , Wet Docks,3,22,10/10/2022
HI658783,Barbara,Rodriguez, Female,63,CNC Machinist , Dry Docks,2,28,10/3/2022
HI276268,Robert,Rodriguez, Male,25,CNC Machinist , Slipways,2,25,9/26/2022
HI861694,Patricia,Miller, Female,63,CNC Machinist , Cranes and Heavy Lifting Equipment,3,18,9/26/2022
HI223503,David,Smith, Unknown,49,CNC Machinist , Dry Docks,3,28,9/19/2022
HI088472,Michael,Rodriguez, Male,52,CNC Machinist , Dry Docks,2,25,9/19/2022
HI422448,Karen,Garcia, Female,57,CNC Machinist , Dry Docks,1,25,9/19/2022
HI451232,John,Smith, Male,19,CNC Machinist , Fabrication Shops,3,18,9/19/2022
HI304274,James,Smith, Male,38,CNC Machinist , Storage Areas,4,18,9/19/2022
HI683066,Patricia,Smith, Female,51,CNC Machinist , Storage Areas,3,25,9/12/2022
HI427683,Barbara,Garcia, Female,64,CNC Machinist , Storage Areas,2,18,9/12/2022
HI884627,David,Rodriguez, Male,25,CNC Machinist , Wet Docks,2,22,9/12/2022
HI832733,Joseph,Brown, Male,20,CNC Machinist , Outfitting Docks,3,22,9/5/2022
HI375969,Richard,Martinez, Male,65,CNC Machinist , Administrative Offices,1,25,9/5/2022
HI078082,David,Brown, Male,31,CNC Machinist , Fabrication Shops,2,18,8/29/2022
HI049188,Susan,Brown, Female,32,CNC Machinist , Paint Shops,1,28,8/29/2022
HI422927,James,Davis, Male,29,CNC Machinist , Cranes and Heavy Lifting Equipment,3,28,8/22/2022
HI356151,Linda,Jones, Female,42,CNC Machinist , Cranes and Heavy Lifting Equipment,2,18,8/22/2022
HI272395,Sarah,Smith, Female,50,CNC Machinist , Outfitting Docks,3,22,8/15/2022
HI849467,Elizabeth,Davis, Female,61,CNC Machinist , Testing Facilities,4,22,8/15/2022
HI134861,John,Martinez, Male,52,CNC Machinist , Slipways,2,18,8/15/2022
HI080158,Sarah,Davis, Female,30,CNC Machinist , Cranes and Heavy Lifting Equipment,4,28,8/15/2022
HI134457,David,Smith, Male,18,CNC Machinist , Paint Shops,1,28,8/15/2022
HI531153,Thomas,Brown, Male,61,CNC Machinist , Storage Areas,2,18,8/15/2022
HI057257,Michael,Brown, Male,30,CNC Machinist , Testing Facilities,4,22,8/8/2022
HI196961,James,Rodriguez, Male,34,CNC Machinist , Paint Shops,1,22,8/1/2022
HI257748,Michael,Martinez, Male,27,CNC Machinist , Storage Areas,1,22,8/1/2022
HI025425,Jessica,Smith, Female,26,CNC Machinist , Slipways,4,22,8/1/2022
HI419221,John,Jones, Male,25,CNC Machinist , Slipways,3,25,7/25/2022
HI454138,David,Garcia, Male,20,CNC Machinist , Paint Shops,1,28,7/25/2022
HI055270,Susan,Brown, Female,19,CNC Machinist , Testing Facilities,2,18,7/18/2022
HI686744,Linda,Johnson, Unknown,23,CNC Machinist , Fabrication Shops,2,25,7/11/2022
HI945880,Barbara,Martinez, Female,56,CNC Machinist , Testing Facilities,1,22,7/4/2022
HI754615,Mary,Miller, Female,22,CNC Machinist , Testing Facilities,3,28,6/27/2022
HI623821,John,Johnson, Male,23,CNC Machinist , Outfitting Docks,2,18,6/20/2022
HI322906,Elizabeth,Smith, Unknown,34,CNC Machinist , Storage Areas,2,18,6/20/2022
HI324868,Joseph,Johnson, Male,58,CNC Machinist , Cranes and Heavy Lifting Equipment,4,28,6/20/2022
HI519688,Elizabeth,Davis, Female,57,CNC Machinist , Wet Docks,4,28,6/20/2022
HI846461,David,Johnson, Unknown,24,CNC Machinist , Testing Facilities,2,25,6/13/2022
HI300197,Karen,Brown, Female,43,CNC Machinist , Slipways,3,18,6/6/2022
HI937979,Patricia,Garcia, Female,49,CNC Machinist , Slipways,3,18,5/30/2022
HI181889,Jennifer,Garcia, Female,37,CNC Machinist , Fabrication Shops,1,25,5/23/2022
HI785771,Elizabeth,Johnson, Female,41,CNC Machinist , Wet Docks,2,18,5/23/2022
HI576594,Patricia,Williams, Female,27,CNC Machinist , Storage Areas,1,18,5/23/2022
HI836127,Susan,Martinez, Female,48,CNC Machinist , Paint Shops,4,25,5/23/2022
HI636346,Linda,Brown, Female,27,CNC Machinist , Wet Docks,4,18,5/23/2022
HI180159,John,Garcia, Male,31,CNC Machinist , Fabrication Shops,4,22,5/16/2022
HI947455,Mary,Smith, Female,23,CNC Machinist , Outfitting Docks,2,25,5/9/2022
HI706097,Sarah,Rodriguez, Female,40,CNC Machinist , Dry Docks,4,18,5/2/2022
HI562792,Karen,Brown, Female,23,CNC Machinist , Dry Docks,1,18,5/2/2022
HI484207,Richard,Smith, Male,41,CNC Machinist , Outfitting Docks,1,25,4/25/2022
HI673943,Richard,Miller, Male,37,CNC Machinist , Cranes and Heavy Lifting Equipment,3,18,4/25/2022
